iter	Passed	Remaining
0	1	1272
1	2	1208
2	3	1205
3	4	1190
4	6	1202
5	7	1198
6	8	1199
7	9	1159
8	10	1157
9	11	1153
10	12	1156
11	14	1155
12	15	1153
13	16	1160
14	17	1160
15	18	1160
16	20	1158
17	21	1155
18	22	1153
19	23	1150
20	24	1148
21	25	1147
22	27	1148
23	27	1130
24	28	1129
25	30	1128
26	31	1144
27	34	1193
28	36	1218
29	37	1215
30	38	1212
31	40	1211
32	41	1207
33	43	1244
34	46	1278
35	48	1304
36	51	1336
37	52	1333
38	53	1326
39	54	1319
40	56	1312
41	57	1309
42	58	1304
43	59	1300
44	60	1291
45	62	1286
46	63	1281
47	64	1278
48	66	1290
49	67	1285
50	68	1280
51	69	1275
52	71	1271
53	72	1268
54	73	1268
55	75	1264
56	75	1256
57	77	1252
58	78	1248
59	79	1245
60	80	1237
61	81	1235
62	82	1231
63	83	1228
64	85	1224
65	86	1221
66	87	1219
67	88	1219
68	90	1220
69	91	1217
70	92	1213
71	93	1210
72	95	1209
73	96	1207
74	97	1204
75	98	1201
76	99	1198
77	101	1195
78	102	1192
79	103	1191
80	104	1188
81	105	1186
82	107	1183
83	108	1180
84	109	1177
85	110	1175
86	111	1173
87	112	1170
88	114	1169
89	115	1166
90	116	1164
91	117	1163
92	119	1160
93	120	1158
94	121	1155
95	122	1153
96	123	1151
97	124	1149
98	126	1147
99	127	1145
100	128	1142
101	129	1141
102	130	1139
103	131	1136
104	133	1135
105	134	1133
106	135	1131
107	136	1129
108	137	1127
109	139	1126
110	140	1123
111	141	1122
112	142	1120
113	143	1118
114	145	1116
115	146	1114
116	147	1112
117	148	1110
118	149	1108
119	150	1107
120	152	1105
121	153	1104
122	154	1102
123	155	1100
124	157	1099
125	158	1097
126	164	1132
127	166	1137
128	169	1142
129	171	1147
130	172	1146
131	173	1144
132	175	1141
133	176	1139
134	177	1137
135	178	1135
136	179	1133
137	181	1131
138	182	1128
139	183	1126
140	184	1124
141	186	1128
142	188	1126
143	189	1124
144	190	1122
145	191	1120
146	192	1117
147	193	1115
148	195	1113
149	196	1112
150	197	1110
151	198	1108
152	199	1105
153	200	1103
154	202	1102
155	203	1100
156	204	1098
157	205	1096
158	206	1094
159	208	1092
160	209	1090
161	210	1088
162	211	1086
163	212	1085
164	214	1083
165	215	1081
166	216	1079
167	217	1077
